SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud08.2021.06.X2	20.52 	7.83 	198.20 	6.19 	24.60 	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
mud08.2021.06.X3	20.52 	7.83 	198.20 	6.19 	24.60 	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
mud08.2021.06.Z1	19.84 	7.94 	160.80 	5.92 	25.40 	24.8	36.75048356	13.28073394	0.561269113	0.069	1.309	0.765443261	27.82	56.44	7.28	5.45	3.01
mud08.2021.06.Z2	19.84 	7.94 	160.80 	5.92 	25.40 	24.8	36.75048356	13.28073394	0.561269113	0.069	1.309	0.765443261	27.82	56.44	7.28	5.45	3.01
mud08.2021.06.Z3	19.84 	7.94 	160.80 	5.92 	25.40 	24.8	36.75048356	13.28073394	0.561269113	0.069	1.309	0.765443261	27.82	56.44	7.28	5.45	3.01
mud09.2021.07.S1	21.30 	7.59 	242.60 	4.88 	32.10 	24.36	26.68863262	8.818550562	0.402393258	0.121	1.607	0.930528522	20.76	42.94	9.46	11.3	15.3
mud09.2021.07.S2	21.30 	7.59 	242.60 	4.88 	32.10 	24.36	26.68863262	8.818550562	0.402393258	0.121	1.607	0.930528522	20.76	42.94	9.46	11.3	15.3
mud09.2021.07.S3	21.30 	7.59 	242.60 	4.88 	32.10 	24.36	26.68863262	8.818550562	0.402393258	0.121	1.607	0.930528522	20.76	42.94	9.46	11.3	15.3
mud09.2021.07.X1	19.85 	7.91 	116.80 	5.89 	30.80 	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud09.2021.07.X2	19.85 	7.91 	116.80 	5.89 	30.80 	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud09.2021.07.X3	19.85 	7.91 	116.80 	5.89 	30.80 	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud09.2021.07.Z1	21.70 	7.89 	106.20 	5.28 	31.30 	21.53	26.85185185	9.72	0.22556962	0.113	1.112	0.741040229	22.52	44.03	9.04	13.51	10.9
mud09.2021.07.Z2	21.70 	7.89 	106.20 	5.28 	31.30 	21.53	26.85185185	9.72	0.22556962	0.113	1.112	0.741040229	22.52	44.03	9.04	13.51	10.9
mud09.2021.07.Z3	21.70 	7.89 	106.20 	5.28 	31.30 	21.53	26.85185185	9.72	0.22556962	0.113	1.112	0.741040229	22.52	44.03	9.04	13.51	10.9
mud10.2021.08.S1	21.90 	7.88 	170.80 	6.37 	31.20 	21.17	25.30364372	8.842466125	0.528807588	0.061	0.875	0.54332455	13.23	28.93	15.66	20.31	21.87
mud10.2021.08.S2	21.90 	7.88 	170.80 	6.37 	31.20 	21.17	25.30364372	8.842466125	0.528807588	0.061	0.875	0.54332455	13.23	28.93	15.66	20.31	21.87
mud10.2021.08.S3	21.90 	7.88 	170.80 	6.37 	31.20 	21.17	25.30364372	8.842466125	0.528807588	0.061	0.875	0.54332455	13.23	28.93	15.66	20.31	21.87
mud10.2021.08.X1	21.09 	7.93 	123.70 	5.76 	32.40 	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud10.2021.08.X2	21.09 	7.93 	123.70 	5.76 	32.40 	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud10.2021.08.X3	21.09 	7.93 	123.70 	5.76 	32.40 	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud10.2021.08.Z1	22.80 	8.05 	180.70 	6.15 	32.00 	17.67	28.48664688	9.592614108	0.545352697	0.134	2.297	1.120997729	19.62	41.74	9.04	13.12	16.47
mud10.2021.08.Z2	22.80 	8.05 	180.70 	6.15 	32.00 	17.67	28.48664688	9.592614108	0.545352697	0.134	2.297	1.120997729	19.62	41.74	9.04	13.12	16.47
