	mud01.2020.11.X1	mud01.2020.11.X2	mud01.2020.11.X3	mud02.2020.12.X1	mud02.2020.12.X2	mud02.2020.12.X3	mud03.2021.01.X1	mud03.2021.01.X2	mud03.2021.01.X3	mud04.2021.02.X1	mud04.2021.02.X2	mud04.2021.02.X3	mud05.2021.03.X1	mud05.2021.03.X2	mud05.2021.03.X3	mud06.2021.04.X1	mud06.2021.04.X2	mud06.2021.04.X3	mud07.2021.05.X1	mud07.2021.05.X2	mud07.2021.05.X3	mud08.2021.06.X1	mud08.2021.06.X2	mud08.2021.06.X3	mud09.2021.07.X1	mud09.2021.07.X2	mud09.2021.07.X3	mud10.2021.08.X1	mud10.2021.08.X2	mud10.2021.08.X3	mud11.2021.09.X1	mud11.2021.09.X2	mud11.2021.09.X3	mud12.2021.10.X1	mud12.2021.10.X2	mud12.2021.10.X3	mud13.2021.11.X1	mud13.2021.11.X2	mud13.2021.11.X3	mud14.2021.12.X1	mud14.2021.12.X2	mud14.2021.12.X3	mud15.2022.01.X1	mud15.2022.01.X2	mud15.2022.01.X3	mud16.2022.02.X1	mud16.2022.02.X2	mud16.2022.02.X3	mud17.2022.03.X1	mud17.2022.03.X2	mud17.2022.03.X3	mud18.2022.04.X1	mud18.2022.04.X2	mud18.2022.04.X3	mud19.2022.05.X1	mud19.2022.05.X2	mud19.2022.05.X3	mud20.2022.06.X1	mud20.2022.06.X2	mud20.2022.06.X3	mud21.2022.07.X1	mud21.2022.07.X2	mud21.2022.07.X3	mud22.2022.08.X1	mud22.2022.08.X2	mud22.2022.08.X3	mud23.2022.09.X1	mud23.2022.09.X2	mud23.2022.09.X3	mud24.2022.10.X1	mud24.2022.10.X2	mud24.2022.10.X3
5795ad9cadd61b16848d4ccfe8e01ea1	0	0	0	0	0	0	0	10	0	21	16	0	29	0	25	6	18	14	28	27	37	9	19	13	19	0	0	11	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0	0	0	38	20	7	6	3	22	40	31	21	17	12	0	19	0	0	9	0	0	0	0	17	12	0	9	16	11
d5fe0b53f773175a440780e5da1e497e	4	0	0	0	0	3	0	8	9	0	8	9	7	4	9	7	3	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	15	23	0	0	8	9	18	22	16	10	16	10	11	7	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	5	0	6	5	0	2	0	0	2
f59db115c0e310bc3f2d9e91291f34c7	0	2	0	6	7	4	23	16	18	21	22	28	6	0	3	7	3	1	9	10	0	0	0	0	2	2	4	0	0	1	3	0	0	16	17	12	13	14	21	0	5	7	9	7	0	5	9	13	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6040e1a816fbc75dbd6c1414e8cfc227	0	0	0	15	8	6	4	9	9	22	20	28	15	9	11	9	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	22	16	20	42	23	25	0	10	11	19	11	18	21	30	15	6	6	7	8	16	7	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0
3cbea3ffe19d1c56fce6e0b5619ac99b	17	18	32	9	13	8	22	44	73	41	73	99	15	36	47	47	61	70	4	13	12	7	1	3	3	1	8	4	9	14	19	16	24	61	79	90	32	44	62	17	30	57	60	49	65	28	43	64	3	9	13	21	35	36	0	9	6	5	2	7	2	4	4	48	43	53	26	21	34	8	13	4
da0f22aa9e77bb51ccf81ab4a3fc207a	26	34	20	13	16	21	28	18	28	43	37	37	0	11	10	28	16	18	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	20	21	23	18	21	34	11	19	18	15	20	23	19	25	23	2	0	6	0	3	0	0	0	0	0	0	0	0	1	0	7	9	0	0	0	0	0	0	0
65a12cc1f714fcd0a77f73fc777fb603	11	14	17	10	28	18	14	9	14	28	22	22	10	12	16	19	14	13	0	0	8	0	0	4	0	2	5	5	0	0	0	0	0	29	21	22	16	18	18	18	6	27	19	26	20	20	22	18	4	2	20	11	8	6	0	0	0	0	4	0	0	0	3	11	0	9	0	2	0	0	2	0
0b2876532cd6ab719609c4c002f82a14	0	0	2	16	29	40	8	27	43	24	30	30	7	20	17	4	11	23	0	2	9	0	0	0	0	2	1	0	3	4	2	4	5	11	10	12	15	24	22	3	12	8	26	15	17	12	8	8	2	2	2	0	3	9	0	5	0	0	1	0	2	1	2	4	0	6	0	1	0	1	0	0
1130899792a156331e58f47502bc339f	5	6	11	4	6	3	0	0	6	0	4	5	3	0	2	4	6	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	5	6	0	0	0	0	2	3	8	8	0	8	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
e07bbb8381541ef2e1a2ad452a19e3ae	0	5	8	0	0	5	0	2	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	9	0	4	1	0	0	0	8	4	0	6	0	4	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
